Cluster,Latitude,Longitude
17,51.499635,-0.163378
0,51.498245000000004,-0.201326
1,51.485758000000004,-0.150108
19,51.488494,-0.192923
2,51.492655,-0.20039300000000002
3,51.480197,-0.185618
4,51.494995,-0.183013
8,51.494649,-0.19556099999999998
5,51.480807,-0.184298
6,51.483422999999995,-0.167486
8,51.494288,-0.195431
1,51.485671999999994,-0.1504
7,51.482077000000004,-0.17344500000000002
1,51.485576,-0.149972
1,51.485668,-0.150112
8,51.49447,-0.19556800000000002
9,51.495661,-0.173767
10,51.501571999999996,-0.160707
0,51.498329999999996,-0.201034
8,51.494285,-0.195287
16,51.527691,-0.21573499999999998
11,51.496606,-0.20585599999999998
7,51.481895,-0.173308
18,51.500822,-0.193444
2,51.492563,-0.200253
6,51.48342,-0.16734200000000002
7,51.481906,-0.174028
4,51.494904999999996,-0.183017
6,51.483411,-0.166767
7,51.481994,-0.173881
7,51.482075,-0.173301
611,51.498676,-0.16529000000000002
7,51.481989,-0.173593
12,51.484364,-0.175946
13,51.489535,-0.155861
6,51.48342,-0.16734200000000002
14,51.521989000000005,-0.201543
15,51.50971,-0.19251600000000002
11,51.496604,-0.20571199999999998
610,51.508887,-0.197448
0,51.498335,-0.201322
5,51.480629,-0.184449
610,51.508967999999996,-0.19686800000000002
5,51.480717,-0.184301
15,51.509708,-0.19237200000000002
9,51.495658,-0.173623
2,51.492746999999994,-0.200534
18,51.50055,-0.19330999999999998
8,51.494195,-0.19529000000000002
7,51.481987,-0.173449
16,51.527695,-0.21602399999999997
7,51.481987,-0.173449
18,51.500648,-0.193883
3,51.4802,-0.18576199999999998
3,51.4802,-0.18576199999999998
15,51.50971,-0.19251600000000002
15,51.509708,-0.19237200000000002
10,51.501659000000004,-0.16055899999999998
2,51.492565,-0.200397
9,51.49584,-0.173759
9,51.495838,-0.17361500000000002
0,51.498245000000004,-0.201326
19,51.488577,-0.192487
17,51.499725,-0.163374
14,51.522079,-0.20154
6,51.48342,-0.16734200000000002
3,51.4802,-0.18576199999999998
4,51.494901,-0.182729
4,51.494995,-0.183013
11,51.496608,-0.206
10,51.501567,-0.160419
0,51.498245000000004,-0.201326
